Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
169	NCT04332913	Efficacy and Safety of Tocilizumab in the Treatment of SARS-Cov-2 Related Pneumonia	TOSCA	Recruiting	No Results Available	COVID-19 Pneumonia		Percentage of patients with complete recovery defined as fever disappearance and return to normal peripheral oxygen saturation values (SpO2) after 14 days from the end of treatment with tocilizumab.|Percentage of patients achieving a score <3 on the Brescia-COVID respiratory severity scale (BCRSS) after the last tocilizumab administration.|Percentage of patients with partial recovery defined as the disappearance of fever 14 days after the end of treatment with tocilizumab.|Duration of hospitalization|Time to the first negative SARS-CoV-2 negative RT-PCR test|Changes from the baseline in the white blood cell count|Changes from the baseline in the lymphocyte populations (cluster of differentiation (CD)3+CD4+, CD3+CD8+, CD19+, Th17)|Changes from the baseline of c-reactive protein (CRP) values|Changes from the baseline of Ferritin values|Changes from the baseline of BNP values|Changes from the baseline of CK-MB values|Changes from the baseline of Troponin values|Changes from the baseline of LDH values|Changes from the baseline of myoglobulin values|Changes in myocardial ischemia signs at the electrocardiographic trace (YES or NO)|Rate of adverse events report during and after tocilizumab|Mortality (number of Partecipants, cause and timing)|Percentage of patients who develop autoimmune diseases	University of L'Aquila	All	18 Years and older   (Adult, Older Adult)		30	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	0064468/20	April 1, 2020	December 31, 2020	March 31, 2021	April 3, 2020		April 13, 2020	Ospedale San Salvatore, L'Aquila, Italy		https://ClinicalTrials.gov/show/NCT04332913
170	NCT04336332	Randomized Comparison of Combination Azithromycin and Hydroxychloroquine vs. Hydroxychloroquine Alone for the Treatment of Confirmed COVID-19		Recruiting	No Results Available	SARS-CoV-2|COVID-19	Combination Product: Hydroxychloroquine Sulfate + Azithromycin|Drug: Hydroxychloroquine Sulfate	Changes in patients viral load|Second evaluation of changes in patients viral load|Symptom questionnaire|Fever assessment|Vital Signs - Body Temperature|Discharge|Recovery|Assessment of agent toxicity|Oropharynx swab sample collections|Blood Sample collections|Viral shedding assessment - nasopharyngeal secretions|Viral shedding assessment - serology|Cytokines in blood	Rutgers, The State University of New Jersey	All	18 Years and older   (Adult, Older Adult)	Phase 2	160	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	002011|Pro2020000712	April 1, 2020	April 30, 2021	April 30, 2021	April 7, 2020		April 13, 2020	Robert Wood Johnson University Hopsital, New Brunswick, New Jersey, United States|Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States|The University Hospital, Newark, New Jersey, United States		https://ClinicalTrials.gov/show/NCT04336332
171	NCT04344977	COVID-19 Plasma Collection	NIAID	Not yet recruiting	No Results Available	Coronavirus Disease 2019 (COVID-19)		Identification of eligible donors and collection of anti-SARS-CoV-2 immune plasma	National Institutes of Health Clinical Center (CC)	All	18 Years to 70 Years   (Adult, Older Adult)		2800	NIH	Observational	Observational Model: Case-Only|Time Perspective: Prospective	200081	April 15, 2020	July 1, 2024	April 1, 2025	April 14, 2020		April 14, 2020			https://ClinicalTrials.gov/show/NCT04344977
172	NCT04317040	CD24Fc as a Non-antiviral Immunomodulator in COVID-19 Treatment	SAC-COVID	Recruiting	No Results Available	Severe Coronavirus Disease (COVID-19)	Drug: CD24Fc|Drug: Placebo	Improvement of COVID-19 disease status|Conversion rate of clinical status at Day 8|Conversion rate of clinical status at Day 15|Hospital discharge time|All cause of death|Duration of mechanical ventilation|Duration of pressors|Duration of ECMO|Duration of oxygen therapy|Length of hospital stay|Absolute lymphocyte count	OncoImmune, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 3	230	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	CD24Fc-007|20200674	April 8, 2020	May 2021	May 2022	March 20, 2020		April 10, 2020	Institute of Human Virology, University of Maryland Baltimore, Baltimore, Maryland, United States		https://ClinicalTrials.gov/show/NCT04317040
173	NCT04347876	Outcome of COVID-19 Cases Based on Tuberculin Test: Can Previous BCG Alter the Prognosis?		Recruiting	No Results Available	COVID-19|BCG Vaccination	Diagnostic Test: Tuberculin test	Pneumonia severity index|Need for ICU admission|COVID -19 test conversion|Mortality	Assiut University	All	12 Years to 80 Years   (Child, Adult, Older Adult)		100	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	AssiutU12	April 11, 2020	June 16, 2020	June 30, 2020	April 15, 2020		April 15, 2020	AssiutU, Assiut, Egypt		https://ClinicalTrials.gov/show/NCT04347876
174	NCT04342897	A Study of LY3127804 in Participants With COVID-19		Not yet recruiting	No Results Available	COVID-19|Pneumonia	Drug: LY3127804|Drug: Placebo	Number of Ventilator Free Days|Number of Participants Reporting Each Severity Rating on the National Institute of Allergy and Infectious Diseases (NIAID) Ordinal Assessment|Oxygen Saturation (SpO₂)|Oxygen Flow Rate|Mortality|Length of Hospitalization|Number of Participants with any Serious Adverse Event (SAE)|Number of Participants with any Treatment Emergent Adverse Event (TEAE)	Eli Lilly and Company	All	18 Years and older   (Adult, Older Adult)	Phase 2	200	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	17824|I7W-MC-UDAA	April 18, 2020	July 10, 2020	July 10, 2020	April 13, 2020		April 15, 2020			https://ClinicalTrials.gov/show/NCT04342897
175	NCT04338932	COVID-19 and Deep Venous Thrombosis		Not yet recruiting	No Results Available	COVID-19|Deep Vein Thrombosis (DVT)/Thrombophlebitis		to investigate the prevalence and identify possible risk factors of the occurrence of a DVT in these patients at the ICU.	Jessa Hospital	All	18 Years and older   (Adult, Older Adult)		12	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	JessaH_COVID19_DVT	April 17, 2020	September 30, 2020	December 30, 2020	April 8, 2020		April 8, 2020			https://ClinicalTrials.gov/show/NCT04338932
176	NCT04346368	Bone Marrow-Derived Mesenchymal Stem Cell Treatment for Severe Patients With Coronavirus Disease 2019 (COVID-19)		Not yet recruiting	No Results Available	Coronavirus Disease 2019 (COVID-19)	Biological: BM-MSCs|Biological: Placebo	Changes of oxygenation index (PaO2/FiO2)|Side effects in the BM-MSCs treatment group|Clinical outcome|Hospital stay|CT Scan|Changes in viral load|Changes of CD4+, CD8+ cells count and concentration of cytokines|Rate of mortality within 28-days|Changes of C-reactive protein	Guangzhou Institute of Respiratory Disease|Guangzhou Eighth People's Hospital|Tongji Hospital, Huazhong University of Science & Technology|Guangzhou Cellgenes Biotechnology Co.,Ltd	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 1|Phase 2	20	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	SC-2020-01	April 2020	December 2020	December 2020	April 15, 2020		April 15, 2020	Guangzhou Institute of Respiratory Health, The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China		https://ClinicalTrials.gov/show/NCT04346368
177	NCT04313127	Phase I Clinical Trial of a COVID-19 Vaccine in 18-60 Healthy Adults	CTCOVID-19	Active, not recruiting	No Results Available	COVID-19	Biological: Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector)	Safety indexes of adverse reactions|Safety indexes of adverse events|Safety indexes of SAE|Safety indexes of lab measures|Immunogencity indexes of GMT(ELISA)|Immunogencity indexes of GMT(pseudoviral neutralization test method)|Immunogencity indexes of seropositivity rates(ELISA)|Immunogencity indexes of seropositivity rates(pseudoviral neutralization test method)|Immunogencity indexes of GMI(ELISA)|Immunogencity indexes of GMI(pseudoviral neutralization test method)|Immunogencity indexes of GMC(Ad5 vector)|Immunogencity indexes of GMI(Ad5 vector)|Immunogencity indexes of cellular immune	CanSino Biologics Inc.|Institute of Biotechnology, Academy of Military Medical Sciences. PLA of China|Jiangsu Province Centers for Disease Control and Prevention|Hubei Provincial Center for Disease Control and Prevention|Tongji Hospital	All	18 Years to 60 Years   (Adult)	Phase 1	108	Industry|Other	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	JSVCT088	March 16, 2020	December 30, 2020	December 20, 2022	March 18, 2020		April 14, 2020	Hubei Provincial Center for Disease Control and Prevention, Wuhan, Hubei, China		https://ClinicalTrials.gov/show/NCT04313127
178	NCT04334005	Vitamin D on Prevention and Treatment of COVID-19	COVITD-19	Not yet recruiting	No Results Available	Patients Infected With COVID-19	Dietary Supplement: Vitamin D	Composite of cumulative death (i.e. mortality) for all causes and for specific causes.|Necessity of invasive assisted ventilation|Necessity of non-invasive assisted ventilation|Intensive care unit admission|Post-anesthesia care unit admission|Hospital admission|Medical consultation|Home care and isolation time|Bed rest time|symptoms' duration (i.e. cough, fever, nasal congestion, gastrointestinal symptoms, fatigue, anosmia, ageusia, diarrhea or alternative signs of COVID-19)|Subjective perception of recovery	Universidad de Granada	All	40 Years to 70 Years   (Adult, Older Adult)	Not Applicable	200	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment	COVITD-19	April 10, 2020	June 30, 2020	June 30, 2020	April 3, 2020		April 7, 2020	Universidad de Granada, Granada, Andalucia, Spain|Medicine Faculty, Granada, Spain		https://ClinicalTrials.gov/show/NCT04334005
179	NCT04336657	Corona-Like Illness: Did we Got it Before WHO Announcement of the Disease?		Recruiting	No Results Available	COVID-19	Other: Questionnaire|Diagnostic Test: IgG	Measure frequency of people suffered from unusual flu-like symptoms before December 2019|Measure remote immunity for COVID-19 in subject with past history of severe flu before WHO announcement date- if possible	Assiut University	All	8 Years to 80 Years   (Child, Adult, Older Adult)		100	Other	Observational	Observational Model: Ecologic or Community|Time Perspective: Prospective	AssiutU11	April 2020	May 2020	May 2020	April 7, 2020		April 7, 2020	AssiutU, Assiut, Egypt		https://ClinicalTrials.gov/show/NCT04336657
180	NCT04288102	Treatment With Mesenchymal Stem Cells for Severe Corona Virus Disease 2019(COVID-19)		Recruiting	No Results Available	Corona Virus Disease 2019(COVID-19)	Biological: MSCs|Biological: Saline containing 1% Human serum albumin（solution of MSC）	Size of lesion area and severity of pulmonary fibrosis by chest CT|mMRC (Modified Medical Research Council) dyspnea scale|Oxygenation index( PaO2/FiO2)|Duration of oxygen therapy(days)|Duration of hospitalization(days)|Blood oxygen saturation|CD4+ T cell count and cytokine level|Side effects in the MSCs treatment group|6-minute walk test|Maximum vital capacity (VCmax)|Diffusing Capacity (DLCO)	Beijing 302 Hospital|Huoshenshan Hospital|Maternal and Child Health Hospital of Hubei Province|General Hospital of Central Theater Command, Wuhan, China|VCANBIO CELL & GENE ENGINEERING CORP.,LTD, China	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 2	90	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	2020-013-D	March 5, 2020	July 15, 2020	July 31, 2020	February 28, 2020		April 7, 2020	Maternal and Child Hospital of Hubei Province, Wuhan, Hubei, China|Wuhan Huoshenshan Hospital, Wuhan, Hubei, China		https://ClinicalTrials.gov/show/NCT04288102
181	NCT04303299	Various Combination of Protease Inhibitors, Oseltamivir, Favipiravir, and Hydroxychloroquine for Treatment of COVID-19 : A Randomized Control Trial	THDMS-COVID-19	Not yet recruiting	No Results Available	SARS-COV-2 Infections|COVID-19	Drug: Oral	SARS-CoV-2 eradication time|Number of patient with Death|Number of patient with Recovery adjusted by initial severity in each arm|Number of day With ventilator dependent adjusted by initial severity in each arm|Number of patient developed Acute Respiratory Distress Syndrome After treatment	Rajavithi Hospital	All	16 Years to 100 Years   (Child, Adult, Older Adult)	Phase 3	320	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	TH-DMS-COVID19 study	April 15, 2020	October 31, 2020	November 30, 2020	March 11, 2020		April 10, 2020	Assistant Professor Subsai Kongsaengdao, Bangkok, Thailand		https://ClinicalTrials.gov/show/NCT04303299
182	NCT04286503	The Clinical Study of Carrimycin on Treatment Patients With COVID-19		Not yet recruiting	No Results Available	Novel Coronavirus Infectious Disease (COVID-19)	Drug: Carrimycin|Drug: lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate|Drug: basic treatment	Fever to normal time (day)|Pulmonary inflammation resolution time (HRCT) (day)|Negative conversion (%) of 2019-nCOVRNA in gargle (throat swabs) at the end of treatment	Beijing YouAn Hospital|Shenyang Tonglian Group Co., Ltd.|Institute of Medicine and Biotechnology, Chinese Academy of Medical Sciences|Huangshi Central Hospital|Shenyang Pharmaceutical University|First Affiliated Hospital of Chongqing Medical University|The Second Affiliated Hospital of Harbin Medical University|No.2 People's Hospital of Fuyang City|First Affiliated Hospital Bengbu Medical College|Renmin Hospital of Wuhan University|The sixth people's hospital of Shenyang|Nanyang Central Hospital	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 4	520	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	BeijingYouan Hospital	February 23, 2020	February 28, 2021	February 28, 2021	February 27, 2020		February 27, 2020		"Study Protocol", https://ClinicalTrials.gov/ProvidedDocs/03/NCT04286503/Prot_000.pdf|"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/03/NCT04286503/ICF_001.pdf	https://ClinicalTrials.gov/show/NCT04286503
183	NCT04329507	Non-invasive Detection of Pneumonia in Context of Covid-19 Using Gas Chromatography - Ion Mobility Spectrometry (GC-IMS)		Not yet recruiting	No Results Available	COVID-19|Respiratory Disease	Diagnostic Test: Breath test	To perform a study in patients with clinical features of pneumonia/chest infection to identify a signature of Covid-19 pneumonia in patients exposed to SARS-CoV-2, compared to unexposed patients or those without.|Detection of markers of Covid-19 pneumonia in non-invasive breath samples.|Relationship of this biomarker signature to the presence of SARS-CoV-2 in nasal and throat swabs.|Subsequently, the signature's relationship to other biomarkers of SARS-CoV-2 infection which are currently being explored|In a smaller group of participants, ideally daily non-invasive breath samples will be collected to determine if there are changes between SARS-CoV-2 positive patients and those that are negative until hospital discharge or undue participant burden .	NHS Lothian	All	18 Years and older   (Adult, Older Adult)		200	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	282014	March 25, 2020	March 25, 2020	March 25, 2020	April 1, 2020		April 1, 2020			https://ClinicalTrials.gov/show/NCT04329507
184	NCT04351581	Effects of Discontinuing Renin-angiotensin System Inhibitors in Patients With COVID-19	RASCOVID-19	Not yet recruiting	No Results Available	Covid-19	Other: Discontinuation of ACEi/ARB|Other: Continuation of ACEi/ARB	Days alive and out of hospital within 14 days after recruitment|Key-secondary composite endpoint: Occurrence of worsening of COVID-19|Occurrence and time to occurrence of each of the components of the key-secondary composite endpoint|Kidney function|Duration of index hospitalisation|30-day mortality|Number of days alive during the intervention period|Discharge beyond 30 days|Number of readmissions after 30 days.	University Hospital, Gentofte, Copenhagen	All	18 Years and older   (Adult, Older Adult)	Not Applicable	215	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	H-20026205|2020-001544-26	April 2020	December 2020	December 2020	April 17, 2020		April 17, 2020	Center for Clinical Metabolic Research, Gentofte Hospital, Hellerup, Capital Region, Denmark		https://ClinicalTrials.gov/show/NCT04351581
185	NCT04339816	Azithromycin Added to Hydrochloroquine in Patients Admitted to Intensive Care With COVID-19: Randomised Controlled Trial	AZIQUINE-ICU	Not yet recruiting	No Results Available	COVID-19|Respiratory Failure	Drug: Azithromycin|Drug: Hydroxychloroquine|Drug: Placebo	Proportion of alive patients free off mechanical ventilation|Proportion of patients who avoided the need of mechanical ventilation|ICU LOS|Mortality28|Mortality90	Frantisek Duska, MD, PhD|Masaryk Hospital Usti nad Labem|University Hospital Pilsen|The Faculty Hospital Na Bulovce|St. Anne's University Hospital Brno, Czech Republic|University Hospital, Motol|General University Hospital, Prague|University Hospital Olomouc|Charles University, Czech Republic	All	18 Years and older   (Adult, Older Adult)	Phase 3	240	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment	AZIQUINE-ICU-25032020|2020-001456-18	April 20, 2020	December 31, 2021	June 30, 2022	April 9, 2020		April 13, 2020			https://ClinicalTrials.gov/show/NCT04339816
186	NCT04293692	Therapy for Pneumonia Patients iInfected by 2019 Novel Coronavirus		Withdrawn	No Results Available	COVID-19	Biological: UC-MSCs|Other: Placebo	Size of lesion area by chest imaging|Blood oxygen saturation|Rate of mortality within 28-days|Sequential organ failure assessment|Side effects in the UC-MSCs treatment group|Electrocardiogram, the changes of ST-T interval mostly|Concentration of C-reactive protein C-reactive protein, immunoglobulin|CD4+ and CD8+ T cells count|Concentration of the blood cytokine (IL-1β, IL-6, IL-8,IL-10,TNF-α)|Concentration of the myocardial enzymes	Puren Hospital Affiliated to Wuhan University of Science and Technology|Wuhan Hamilton Bio-technology Co., Ltd	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	0	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment	Pr20200225	February 24, 2020	February 25, 2020	February 25, 2020	March 3, 2020		March 18, 2020	Puren Hospital Affiliated to Wuhan University of Science and Technology, Wuhan, Hubei, China		https://ClinicalTrials.gov/show/NCT04293692
187	NCT04347980	Dexamethasone Treatment for Severe Acute Respiratory Distress Syndrome Induced by COVID-19	DHYSCO	Recruiting	No Results Available	Respiratory Distress Syndrome, Adult|COVID-19	Drug: Dexamethasone and Hydroxychloroquine|Drug: Hydroxychloroquine	Day-28 mortality|Ventilator-free days|Intensive Care Unit mortality|Day-60 mortality|Nosocomial pneumonia|Bacteremia	Centre Chirurgical Marie Lannelongue	All	18 Years to 80 Years   (Adult, Older Adult)	Phase 3	122	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	2037815010	April 2020	June 2020	August 2020	April 15, 2020		April 17, 2020	Reanimation adulte. Hopital Marie Lannelongue, Le Plessis-Robinson, France		https://ClinicalTrials.gov/show/NCT04347980
188	NCT04333472	Piclidenoson for Treatment of COVID-19		Not yet recruiting	No Results Available	COVID-19|Coronavirus Infection	Drug: Piclidenoson	Duration of viral shedding in days|Time to clinical recovery (TTCR) in days|Treatment-emergent adverse events (AEs)|Requirement for non-invasive or mechanical ventilation|Length of hospital stay in days|Estimated PaO2/FiO2 ratio on day of discharge|All-cause mortality|Patients reaching undetectable COVID-19 virus levels in respiratory secretions|Duration of symptoms and signs of respiratory infection in days|Need for supportive respiratory management|Viral load|Treatment-emergent serious AEs (SAEs)|AEs leading to withdrawal|Treatment-emergent abnormalities in clinical laboratory parameters	Can-Fite BioPharma|Rabin Medical Center	All	18 Years and older   (Adult, Older Adult)	Phase 2	40	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CAN-COR-1	April 6, 2020	June 6, 2020	July 6, 2020	April 3, 2020		April 3, 2020	Rabin Medical Center, Petah tikva, Israel		https://ClinicalTrials.gov/show/NCT04333472
189	NCT04343339	Evolution of Psychoactive Substances Consumption in Connection With COVID-19 Containment	EPILOGUE	Recruiting	No Results Available	Addiction, Substance|COVID-19		Evolution of consumption|health care access	University Hospital, Montpellier	All	18 Years and older   (Adult, Older Adult)		100	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	RECHMPL20_0195	April 8, 2020	July 30, 2020	September 30, 2020	April 13, 2020		April 15, 2020	Uhmontpellier, Montpellier, France		https://ClinicalTrials.gov/show/NCT04343339
190	NCT04345276	Efficacy and Safety of Ganovo (Danoprevir) Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection		Recruiting	No Results Available	COVID-19	Drug: Danoprevir+Ritonavir	Rate of composite adverse outcomes|Time to recovery|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no requiring supplemental oxygen|Rate of undetectable New coronavirus pathogen nucleic acid|Rate of mechanical ventilation|Rate of ICU admission|Rate of serious adverse event	Huoshenshan Hospital|Ascletis Pharmaceuticals Co., Ltd.	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 4	40	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ASC-CTP-HS-01	March 18, 2020	April 30, 2020	May 31, 2020	April 14, 2020		April 14, 2020	Huoshenshan Hostipal, Wuhan, Hubei, China		https://ClinicalTrials.gov/show/NCT04345276
191	NCT04291729	Evaluation of Ganovo （Danoprevir ） Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection		Completed	No Results Available	COVID-19	Drug: Ganovo+ritonavir+/-Interferon nebulization	Rate of composite adverse outcomes|Time to recovery|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no requiring supplemental oxygen|Rate of undetectable New coronavirus pathogen nucleic acid|Rate of mechanical ventilation|Rate of ICU admission|Rate of serious adverse event	The Ninth Hospital of Nanchang|Ascletis Pharmaceuticals Co., Ltd.	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 4	11	Other|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ASC-CTP-NC-01	February 17, 2020	March 19, 2020	March 19, 2020	March 2, 2020		April 13, 2020	The Ninth Hospital of Nanchang, Nanchang, Jiangxi, China		https://ClinicalTrials.gov/show/NCT04291729
192	NCT04345315	Correlative Study on Cancer Patients and Healthcare Professionals Exposed to Infection by Severe Acute Respiratory Syndrome-Corona Virus-2 (SARS-Cov-2), COVID-19 Causative Agent.	CORSA	Recruiting	No Results Available	COVID-19|SARS-CoV-2	Other: serological test|Other: Rapid molecular test|Genetic: Next generation Sequencing (NGS) analysis|Other: serum chemistry analysis	epidemiology|Immunoglobulin G (IgG) and Immunoglobulin M (IgM) antibodies evaluation|methods comparison|correlation between biochemical and coagulative factors with SARS-CoV-2 positivity.|phylogenetic map|interactions between the virus and host cells	Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori|AUSL Romagna	All	18 Years and older   (Adult, Older Adult)		500	Other	Observational	Observational Model: Cohort|Time Perspective: Other	IRSTB113	March 27, 2020	March 2021	March 2022	April 14, 2020		April 15, 2020	UO Microbiologia,Centro Servizi Pievesestina, AUSL Romagna, Cesena, FC, Italy|Irst Irccs, Meldola, FC, Italy		https://ClinicalTrials.gov/show/NCT04345315
193	NCT04350736	First in Human Study SAD and MAD Study of Inhaled TD-0903, a Potential Treatment for ALI Associated With COVID-19		Not yet recruiting	No Results Available	Acute Lung Injury (ALI) Associated With COVID-19|Inflammatory Lung Conditions Associated With COVID-19	Drug: TD-0903|Drug: Placebo	Safety and Tolerability of SAD of TD-0903: Adverse Events|Safety and Tolerability of MAD of TD-0903: Adverse Events|Pharmacokinetics (PK) of TD-0903 when given as a Single Ascending Dose (SAD): AUC|Pharmacokinetics (PK) of TD-0903 when given as a Single Ascending Dose (SAD): Cmax|Pharmacokinetics (PK) of TD-0903 when given as a Single Ascending Dose (SAD): Tmax|Pharmacokinetics (PK) of TD-0903 when given as a Multiple Ascending Dose (MAD): AUC|Pharmacokinetics (PK) of TD-0903 when given as a Multiple Ascending Dose (MAD): Cmax|Pharmacokinetics (PK) of TD-0903 when given as a Multiple Ascending Dose (MAD): Tmax	Theravance Biopharma	All	18 Years to 50 Years   (Adult)	Phase 1	54	Industry	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	0183|2020-000577-24	April 2020	June 2020	June 2020	April 17, 2020		April 17, 2020	Theravance Biopharma Investigational Site, Manchester, United Kingdom		https://ClinicalTrials.gov/show/NCT04350736
194	NCT04344431	Management by Hyperbaric Oxygen Therapy of Patients With Hypoxaemic Pneumonia With SARS-CoV-2 (COVID-19)	OHB10cov	Not yet recruiting	No Results Available	Covid-19	Combination Product: Hyperbaric oxygen treatment (HBOT) i.e. inhalation of pressurized oxygen delivered by a hyperbaric chamber (drug/device)	Time to normalize the oxygen requirement (oxygeno-dependence)|Days of hospitalization between the HBO group and the control group.|Oxygen flow values to obtain a saturation by pulse oximetry greater than or equal to 92% values between the HBO group and the control group.|Days on invasive mechanical ventilation|Mortality	Direction Centrale du Service de Santé des Armées	All	18 Years to 90 Years   (Adult, Older Adult)	Phase 2|Phase 3	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	2020PPRC03	April 2020	April 2021	May 2021	April 14, 2020		April 14, 2020	Sainte Anne Military Teaching Hospital, Toulon, France		https://ClinicalTrials.gov/show/NCT04344431
195	NCT04341688	A Clinical Trial of Gargling Agents in Reducing Intraoral Viral Load Among COVID-19 Patients	GARGLES	Not yet recruiting	No Results Available	Covid-19	Drug: Gargle/Mouthwash	Intraoral viral load|Salivary cytokine profile	Aga Khan University|University of Karachi	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care	2020-Sur-ERC-20	July 1, 2020	December 31, 2020	March 31, 2021	April 10, 2020		April 16, 2020			https://ClinicalTrials.gov/show/NCT04341688
196	NCT04338828	Nitric Oxide Inhalation Therapy for COVID-19 Infections in the ED	NO COV-ED	Not yet recruiting	No Results Available	COVID19	Drug: Nitric Oxide Gas|Other: Inhaled Supplemental Oxygen	Rates of return visits to the ED|Inpatient hospitalizations required|Rates of intubation|Rates of mortality	Massachusetts General Hospital|Department of Anesthesia, Critical Care and Pain Medicine (DACCPM), Massachusetts General Hospital	All	18 Years and older   (Adult, Older Adult)	Phase 2	260	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	2019P00XXXX	April 2020	April 2021	April 2022	April 8, 2020		April 8, 2020	Massachusetts General Hospital, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT04338828
