Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
142	NCT04362332	Chloroquine, Hydroxychloroquine or Only Supportive Care in Patients AdmItted With Moderate to Severe COVID-19	ARCHAIC	Recruiting	No Results Available	COVID-19	Drug: Chloroquine Sulfate|Drug: Hydroxychloroquine|Other: Standard supportive care	Composite endpoint with disease progression defined as a NEWS2score ≥ 7 within 14 days or resulting in admission to Intensive/Medium Care unit or resulting in death within 14 days.|Side effects	UMC Utrecht|ZonMw: The Netherlands Organisation for Health Research and Development	All	18 Years to 110 Years   (Adult, Older Adult)	Phase 4	950	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NL73529.041.20 versie 3	April 14, 2020	April 14, 2021	May 14, 2021	April 24, 2020		April 24, 2020	UMCU, Utrecht, Netherlands		https://ClinicalTrials.gov/show/NCT04362332
143	NCT04323631	Hydroxychloroquine for the Treatment of Patients With Mild to Moderate COVID-19 to Prevent Progression to Severe Infection or Death		Not yet recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine|Other: The control group will not receive hydroxychloroquine	Number patients developing severe infection or death	Rambam Health Care Campus|Rabin Medical Center	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	1116	Other	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	0154-20-RMB	March 2020	December 2020	December 2020	March 26, 2020		March 26, 2020			https://ClinicalTrials.gov/show/NCT04323631
144	NCT04331834	Pre-Exposure Prophylaxis With Hydroxychloroquine for High-Risk Healthcare Workers During the COVID-19 Pandemic	PrEP_COVID	Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine|Drug: Placebos	Confirmed cases of a COVID-19|SARS-CoV-2 seroconversion|Occurrence of any adverse event related with hydroxychloroquine treatment|Incidence of SARS-CoV-2 infection and COVID-19 among healthcare workers|Risk ratio for the different clinical, analytical and microbiological conditions to develop COVID-19|COVID-19 Biobank	Barcelona Institute for Global Health|Hospital Clinic of Barcelona|Laboratorios Rubió	All	18 Years and older   (Adult, Older Adult)	Phase 3	440	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	PrEP_COVID	April 3, 2020	October 3, 2020	October 30, 2020	April 2, 2020		April 7, 2020	ISGlobal, Barcelona, Spain		https://ClinicalTrials.gov/show/NCT04331834
145	NCT04336254	Safety and Efficacy Study of Allogeneic Human Dental Pulp Mesenchymal Stem Cells to Treat Severe COVID-19 Patients		Recruiting	No Results Available	COVID-19	Biological: allogeneic human dental pulp stem cells (BSH BTC & Utooth BTC)|Other: Intravenous saline injection (Placebo)	TTCI|Lung lesion|Immune function|Time of SARS-CoV-2 clearance|Blood test|SPO2|RR|Body temperature|Side effects in the treatment group|C-reactive protein (mg/L)	Renmin Hospital of Wuhan University|Beijing SH Bio-Tech Corporation, Beijing (CN)|Utooth Biological Technology Co., Ltd. Hubei (CN)	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 1|Phase 2	20	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	2020K-G005|hDPSC-CoVID-2019-02-2020	April 6, 2020	December 31, 2020	March 31, 2021	April 7, 2020		April 7, 2020	Renmin Hospital of Wuhan University (East Campus), Wuhan, Hubei, China		https://ClinicalTrials.gov/show/NCT04336254
146	NCT04313023	The Use PUL-042 to Reduce the Infection Rate and Progression to COVID-19 in Adults Exposed to SARS-CoV-2		Not yet recruiting	No Results Available	COVID-19	Drug: PUL-042 Inhalation Solution|Drug: Placebo	Severity of COVID-19|Incidence of SARS-CoV-2 infection|ICU admission|Mechanical ventilation|Mortality	Pulmotect, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 2	200	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	PUL-042-501	April 2020	September 2020	October 2020	March 18, 2020		April 14, 2020			https://ClinicalTrials.gov/show/NCT04313023
147	NCT04332094	Clinical Trial of Combined Use of Hydroxychloroquine, Azithromycin, and Tocilizumab for the Treatment of COVID-19	TOCOVID	Recruiting	No Results Available	COVID-19	Drug: Tocilizumab|Drug: Hydroxychloroquine|Drug: Azithromycin	In-hospital mortality|Need for mechanical ventilation in the Intensive Care Unit	Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau|Instituto de Salud Carlos III	All	18 Years and older   (Adult, Older Adult)	Phase 2	276	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IIBSP-COV-2020-23	April 2, 2020	September 2020	October 2020	April 2, 2020		April 7, 2020	Hospital de la Santa Creu i Sant Pau, Barcelona, Spain		https://ClinicalTrials.gov/show/NCT04332094
148	NCT04292899	Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19)		Recruiting	No Results Available	COVID-19	Drug: Remdesivir|Drug: Standard of Care	The Odds of Ratio for Improvement on a 7-point Ordinal Scale on Day 14|Proportion of Participants Experiencing any Treatment-Emergent Adverse Events	Gilead Sciences	All	12 Years and older   (Child, Adult, Older Adult)	Phase 3	6000	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GS-US-540-5773|2020-000841-15	March 6, 2020	May 2020	May 2020	March 3, 2020		April 24, 2020	Kaiser Permanente Los Angeles Medical Center, 3340 E. La Palma Avenue, Anaheim, California, United States|Mills-Peninsula Medical Center, Burlingame, California, United States|Kaiser Permanente Los Angeles Medical Center, 9333 Imperial Highway, Downey, California, United States|Kaiser Permanente Los Angeles Medical Center, 9961 Sierra Ave, Fontana, California, United States|St Joseph Hospital Eureka, Fortuna, California, United States|Kaiser Permanente Los Angeles Medical Center, 25825 S. Vermont Ave., Harbor City, California, United States|Kaiser Permanente Los Angeles Medical Center, Los Angeles, California, United States|Kaiser Permanente Los Angeles Medical Center, 6041 Cadillac Ave., Los Angeles, California, United States|Kaiser Permanente Los Angeles Medical Center, 5601 De Soto Avenue, Los Angeles, California, United States|Kaiser Permanente Los Angeles Medical Center, 10800 Magnolia Avenue, Los Angeles, California, United States|Mission Hospital Regional Medical Center, Mission Viejo, California, United States|Kaiser Permanente Los Angeles Medical Center, 27300 Iris Avenue, Moreno Valley, California, United States|El Camino Hospital, Mountain View, California, United States|Hoag Memorial Hospital Presbyterian, Newport Beach, California, United States|Kaiser Permanente Oakland Medical Center, Oakland, California, United States|Kaiser Permanente Los Angeles Medical Center, 2295 S. Vineyard Avenue, Ontario, California, United States|The Center for Cancer Prevention and Treatment at St. Joseph Hospital of Orange, Orange, California, United States|Kaiser Permanente Los Angeles Medical Center, 13651 Willard Street, Panorama City, California, United States|Sutter Medical Center Sacramento, One Medical Plaza, Roseville, California, United States|Sutter Medical Center Sacramento, Sacramento, California, United States|Kaiser Permanente Los Angeles Medical Center, 9455 Clairemont Mesa Blvd, San Diego, California, United States|Kaiser Permanente Los Angeles Medical Center, 4647 Zion Avenue, San Diego, California, United States|Kaiser Permanente Oakland Medical Center, 1200 El Camino Real, San Francisco, California, United States|California Pacific Medical Center-Infectious Disease Associates Medical Group, San Francisco, California, United States|Kaiser Permanente-Oakland, 2425 Geary Blvd, San Francisco, California, United States|Kaiser Permanente Oakland Medical Center, 250 Hospital Parkway, Suite 850, San Jose, California, United States|Kaiser Permanente Oakland Medical Center, 2500 Merced St, San Leandro, California, United States|Kaiser Permanente Oakland Medical Center, 700 Lawrence Expressway, Santa Clara, California, United States|Providence St. Johns Medical Center, Santa Monica, California, United States|Sutter Santa Rosa Regional Hospital, Santa Rosa, California, United States|Stanford Hospital, Stanford, California, United States|University of Colorado Denver, University of Colorado Hospital, Aurora, Colorado, United States|SCL Health St. Joseph Hospital, 1375 East 19th Ave, Denver, Colorado, United States|SCL Health St. Joseph Hospital, Denver, Colorado, United States|Rose Medical Center, Denver, Colorado, United States|SCL Health St. Joseph Hospital, 200 Exempla Circle., Lafayette, Colorado, United States|Yale-New Haven Hospital, New Haven, Connecticut, United States|Kaiser Permanente Hawaii Moanalua Medical Center, Honolulu, Hawaii, United States|John H. Stroger Jr. Hospital of Cook County, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|IU Health Methodist Hospital, Indianapolis, Indiana, United States|University of Iowa Hospitals & Clinics, Iowa City, Iowa, United States|Tulane University, New Orleans, Louisiana, United States|Maine Medical Center, Portland, Maine, United States|Holy Cross Hospital, Silver Spring, Maryland, United States|Tufts Medical Center, Boston, Massachusetts, United States|Brigham & Women's Hospital and Harvard Medical School, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|The University of Michigan Hospitals and Health Systems, Ann Arbor, Michigan, United States|Henry Ford Health System, Detroit, Michigan, United States|Hennepin Healthcare, Minneapolis, Minnesota, United States|Mayo Clinic, Rochester, Minnesota, United States|Providence St Patrick Hospital and International Heart Institute of MT Foundation, Missoula, Montana, United States|Darmouth-Hitchhock Medical Center, Lebanon, New Hampshire, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Robert Wood Johnson University Hospital Somerset, Hillsborough, New Jersey, United States|Robert Wood Johnson University Hospital Somerset, 1 RWJ Place, New Brunswick, New Jersey, United States|Robert Wood Johnson University Hospital Somerset, 201 Lyons Avenue, Newark, New Jersey, United States|St. Joseph's University Medical Center, Paterson, New Jersey, United States|Jacobi Medical Center, Bronx, New York, United States|James J. Peters Veterans Administration Medical Center, Bronx, New York, United States|Jamaica Hospital Medical Center, Jamaica, New York, United States|Danbury Hospital, Lagrangeville, New York, United States|North Shore University Hospital, 270-05 76th Ave, Manhasset, New York, United States|North Shore University Hospital, Manhasset, New York, United States|Icahn School of Medicine at Mount Sinai, 350 East 17th Street, New York, New York, United States|Icahn School of Medicine at Mount Sinai, 440 West 114th St., New York, New York, United States|Icahn School of Medicine at Mount Sinai, 1000 10th Avenue, New York, New York, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Columbia University Medical Center-New York Presbyterian Hospital, New York, New York, United States|New York Presbyterian Hospital/Weill Cornell Medical Center, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|Kaiser Sunnyside Medical Center, 2875 NW Stucki Ave, Hillsboro, Oregon, United States|Providence Portland Medical Center, Portland, Oregon, United States|Providence St. Vincent Medical Center, Portland, Oregon, United States|Kaiser Sunnyside Medical Center, Portland, Oregon, United States|Hospital of the University of Pennsylvania, 51 N. 31st Street, Philadelphia, Pennsylvania, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|The Miriam Hospital, Providence, Rhode Island, United States|Prisma Health Richland Hospital, Columbia, South Carolina, United States|Prisma Health Richland Hospital, 701 Grove Road, Greenville, South Carolina, United States|The Liver Institute of Methodist Dallas Medical Center, Dallas, Texas, United States|UT Southwestern Medical Center Amelia Court, HIV Research Clinic, Dallas, Texas, United States|Baylor University Medical Center, Dallas, Texas, United States|UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 5201 Harry Hines Blvd., Dallas, Texas, United States|UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 6201 Harry Hines Blvd, Dallas, Texas, United States|Baylor University Medical Center, 1400 8th Ave, Fort Worth, Texas, United States|Houston Methodist Hospital, Houston, Texas, United States|Baylor University Medical Center, 2401 S. 31st St., Temple, Texas, United States|University of Utah Health, Salt Lake City, Utah, United States|Virginia Hospital Center, Arlington, Virginia, United States|Inova Fairfax Medical Campus, Falls Church, Virginia, United States|VCU Health Medical Center, Richmond, Virginia, United States|Providence Regional Medical Center Everett, Everett, Washington, United States|Kadlec Regional Medical Center, Kennewick, Washington, United States|Providence St. Peter Hospital, Olympia, Washington, United States|Virginia Mason Medical Center, Seattle, Washington, United States|Swedish Center for Comprehensive Care, Seattle, Washington, United States|MultiCare Deaconess Hospital, Spokane, Washington, United States|MultiCare Tacoma General Hospital, Tacoma, Washington, United States|St Joseph Medical Center, Tacoma, Washington, United States|The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, China|CHU Pellegrin, Bordeaux, France|CHU de Montpellier-Hopital Gui de Chauliac, Montpelier Cedex 5, France|CHU de Nantes-Hotel Dieu, Nantes, France|Hopital Saint-Louis, Paris, France|Hopital Saint Antoine, Paris, France|Universitatsklinikum Dusseldorf, Klinik fur Gastroenterologie, Hepatologie und Infektiologie, Düsseldorf, WA, Germany|Charite Universitatsmedizin Berlin, Campus Virchow-Klinikum, Medizinische Klinik Infektiologie Pneumologie, Berlin, Germany|Universitatsklinikum Hamburg-Eppendorf, Hamburg, Germany|Universitätsklinikum Schleswig-Holstein Campus Kiel, Kiel, Germany|Klinikum St. Georg gGmbH Klinik fur Infektiologie, Tropenmedizin, Nephrologie und Rheumatologie, Leipzig, Germany|Klinikum rechts der Isar der TU Munchen, Klinik und Poliklinik Innere Medizin 2, Munich, Germany|Klinik für Hämatologie, Onkologie, Immunologie, München, Germany|Robert-Bosch-Krankenhaus (RBK), Klinik Schillerhohe (KSH) und Dr. Margarete Fischer-Bosch-Institut fur klinische Pharmakologie (IKP), Stuttgart, Germany|Prince of Wales Hospital, Hong Kong, Hong Kong|Princess Margaret Hospital, Hong Kong, Hong Kong|Queen Mary Hospital, Hong Kong, Hong Kong|UOC Malattie Infettive, ASST Papa Giovanni XXIII, Bergamo, Italy|ASST degli Spedali Civili di Brescia, Brescia, Italy|ASST di Cremona - Azienda Socio Sanitaria Territor, Cremona, Italy|UOC Malattie Infettive, IRCCS Ospedale San Raffaele, Milano, Italy|Dipartimento di Malattie Infettive, Malattie Infettive I- Malattie Infettive III, AssT Fatebenefratelli Sacco Ospedale Luigi Sacco, Milano, Italy|UO Malattie Infettive, Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, Milan, Italy|UOC Medicina Di Laboratorio, Azienda Ospedaliera di Padova, Padova PD, Italy|Azienda Ospedaliero Universitaria di Parma, Parma, Italy|UOC Malattie Infettive I, Fondazione IRCCS Policlinio San Matteo, Pavia, Italy|Ospedale Guglielmo da Saliceto AUSL di Piacenza, Piacenza, Italy|UOC Malattie Infettive ad Alta Intensita di Cure, Istituto Nazionale Malattie Infettive Lazzaro Spallanzani I.R.C.C.S., Roma, Italy|Clinica Universitaria Malattie Infettive, Ospedale Amedeo di Savoia, Torino, Italy|Yokohama Municipal Citizen's Hospital, Kanagawa, Japan|Nagoya City East Medical Center, Nagoya, Japan|Tokyo Metropolitan Bokutoh Hospital, Tokyo, Japan|Kyungpook National University Hospital, Daegu, Korea, Republic of|Seoul Medical Center, Seoul, Korea, Republic of|National Medical Center, Seoul, Korea, Republic of|Amsterdam University Medical Centre - Location AMC, Amsterdam, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Erasmus Medical Centre, Rotterdam, Netherlands|National University Hospital, Singapore, Singapore|Singapore General Hospital, Singapore, Singapore|National Centre for Infectious Diseases, Tan Tock Seng Hospital, Singapore, Singapore|Hospital Principe de Asturias, Alcalá De Henares, Madrid, Spain|Complejo Hospitalario Universitario A Coruña, A Coruña, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Universitario Cruces, Bizkaia, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Regional Universitario de Málaga, Málaga, Spain|Hospital Universitario Virgen del Rocio, Sevilla, Spain|Sahlgrenska University Hospital, Ostra, Gothenburg, Sweden|SUS (Skanes University Hospital), Malmo, Sweden|Karolinska University Hospital, Stockholm, Sweden|Hopitaux Universitaires de Genève, Genève 14, Switzerland|Ospedale Regionale di Locarno La Carità, Lugano, Switzerland|Universitätsspital Zürich, Zürich, Switzerland|Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan|China Medical University Hospital, Taichung, Taiwan|National Taiwan University Hospital, Taipei City, Taiwan|Royal Infirmary of Edinburgh, Edinburgh, United Kingdom|Queen Elizabeth University Hospital, Glasgow, United Kingdom|Hull University Teaching Hospitals NHS Trust, Hull, United Kingdom|Royal Lancaster Hospital, Lancaster, United Kingdom|Liverpool University Hospital, Liverpool, United Kingdom|Northwick Park Hospital, London, United Kingdom|Royal Free London NHS Foundation Trust, London, United Kingdom|King's College Hospital NHS Trust, London, United Kingdom|Imperial College Healthcare NHS Trust, London, United Kingdom|University College London, London, United Kingdom|Manchester University NHS Foundation Trust, Manchester, United Kingdom|Manchester University NHS Foundation Trust, Manchester, United Kingdom|Pennine Acute Hospitals NHS Trust, Manchester, United Kingdom|Derriford Hospital, Plymouth, United Kingdom|Sheffield Teaching Hospitals, Sheffield, United Kingdom		https://ClinicalTrials.gov/show/NCT04292899
149	NCT04312997	The Use of PUL-042 Inhalation Solution to Reduce the Severity of COVID-19 in Adults Positive for SARS-CoV-2 Infection		Not yet recruiting	No Results Available	COVID-19	Drug: PUL-042 Inhalation Solution|Drug: Placebo	Severity of COVID-19|SARS-CoV-2 infection|Severity of COVID-19 over 28 days|ICU admission|Mechanical Ventilation|Mortality	Pulmotect, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 2	100	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	PUL-042-502	April 2020	September 2020	October 2020	March 18, 2020		April 14, 2020			https://ClinicalTrials.gov/show/NCT04312997
150	NCT04334980	Evaluating the Safety, Tolerability and Immunogenicity of bacTRL-Spike Vaccine for Prevention of COVID-19		Not yet recruiting	No Results Available	COVID-19	Biological: bacTRL-Spike|Other: Placebo	Frequency of Adverse Events|SARS-CoV-2 antibodies|Incidence of COVID-19 infection|bacTRL-Spike in stool post-vaccination|Seroconversion of circulating anti-Spike IgG antibodies & stability of serum IgG titers|Effectiveness of intestinal colonization of the probiotic-based bacTRL-Spike oral vaccine	Symvivo Corporation	All	19 Years to 45 Years   (Adult)	Phase 1	84	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention	bacTRL-Spike-1	April 30, 2020	August 31, 2021	December 31, 2021	April 6, 2020		April 22, 2020	Vaccine Evaluation Center, BC Children's Hospital Research Institute, University of British Columbia., Vancouver, British Columbia, Canada|Canadian Center for Vaccinology Dalhousie University, IWK Health Centre, Halifax, Nova Scotia, Canada		https://ClinicalTrials.gov/show/NCT04334980
151	NCT04348409	Efficacy and Safety of Nitazoxanide for the Treatment of Hospitalized Patients With Moderate COVID-19		Recruiting	No Results Available	COVID-19	Drug: Nitazoxanide Tablets|Drug: Placebo	Viral load|Evolution of acute respiratory syndrome|Change in Clinical Condition|Hospital discharge|Rate of mortality within 21-days|Need of mechanical ventilation	Azidus Brasil|Farmoquimica S.A.|Hospital Vera Cruz|Hospital Casa de Saúde - Vera Cruz - Campinas - SP - Brazil|Centro de Genomas - UNIFESP|Emilio Ribas Institute of Infectious Diseases	All	18 Years and older   (Adult, Older Adult)	Not Applicable	50	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	NITFQM0320OR	April 12, 2020	May 31, 2020	June 30, 2020	April 16, 2020		April 22, 2020	Hospital Vera Cruz, Campinas, São Paulo, Brazil|Centro de Genomas, São Paulo, Brazil|Hospital Emílio Ribas, São Paulo, Brazil		https://ClinicalTrials.gov/show/NCT04348409
152	NCT04353518	Clinical Trial to Evaluate Mycobacterium w in Preventing COVID-19 in Subjects at Risk of Getting Infected With COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Suspension of heat killed (autoclaved) Mycobacterium w|Other: Placebo	Number of subject acquiring COVID-19 infection|Incidence of Adverse Event and Serious Adverse Event (safety and tolerability)|Number of subject developing Upper Respiratory Tract Infection (URTI) symptoms|Number of subject developing severe COVID-19 infection based on ordinal scale	Cadila Pharnmaceuticals|Council of Scientific and Industrial Research, India	All	18 Years and older   (Adult, Older Adult)	Phase 3	4000	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	CRSC20005	April 30, 2020	March 30, 2021	May 30, 2021	April 20, 2020		April 22, 2020			https://ClinicalTrials.gov/show/NCT04353518
153	NCT04360551	Pilot Clinical Trial of the Safety and Efficacy of Telmisartan for the Mitigation of Pulmonary and Cardiac Complications in COVID-19 Patients		Not yet recruiting	No Results Available	COVID-19	Drug: Telmisartan 40mg|Drug: Placebo	Maximum clinical severity of disease|Incidence of treatment emergent adverse events|Renin angiotensin system peptides|Plasma biomarkers	University of Hawaii	All	18 Years and older   (Adult, Older Adult)	Phase 2	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	H051	July 1, 2020	June 30, 2021	June 30, 2021	April 24, 2020		April 24, 2020	University of Hawaii - Manoa, John A Burns School of Medicine UH Clinics at Kakaako, Honolulu, Hawaii, United States		https://ClinicalTrials.gov/show/NCT04360551
154	NCT04347954	PVP-I Nasal Sprays and SARS-CoV-2 Nasopharyngeal Titers (for COVID-19)		Not yet recruiting	No Results Available	COVID-19	Drug: Povidone-Iodine 2%|Drug: Povidone-Iodine 0.5%|Drug: Isotonic saline 0.9%	Mean change in viral titers of SARS-CoV-2|Frequency of adverse effects of interest after nasal sprays|Frequency of symptoms related to SARS-CoV-2	Stanford University	All	18 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	45	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	IRB-56134	May 2020	July 2020	August 2020	April 15, 2020		April 15, 2020	Stanford Health Care, Stanford, California, United States		https://ClinicalTrials.gov/show/NCT04347954
155	NCT04343989	A Randomized Placebo-controlled Safety and Dose-finding Study for the Use of the IL-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection		Recruiting	No Results Available	COVID-19	Drug: Clazakizumab 12.5 mg|Drug: Clazakizumab 25 mg|Other: Placebo	Incidence of serious adverse events associated with clazakizumab or placebo|Incidence of intubation|Time to extubation|Length of ICU stay|Number of patients who present a decrease in C-reactive protein|Patient survival	NYU Langone Health	All	18 Years and older   (Adult, Older Adult)	Phase 2	90	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	s20-00392	March 31, 2020	July 1, 2020	July 1, 2020	April 14, 2020		April 20, 2020	New York University School of Medicine, New York, New York, United States		https://ClinicalTrials.gov/show/NCT04343989
156	NCT04348435	A Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Allogeneic Mesenchymal Stem Cell Therapy (HB-adMSCs) to Provide Protection Against COVID-19		Enrolling by invitation	No Results Available	COVID-19	Drug: HB-adMSCs|Drug: Placebos	Incidence of hospitalization for COVID-19|Incidence of symptoms associated with COVID-19|Absence of upper/lower respiratory infection|Leukocyte differential|C Reactive protein|TNF alpha|IL-6|IL-10|Glucose|Calcium|Albumin|Total protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Total bilirubin|white blood cells|red blood cells|hemoglobin|hematocrit|mean corpuscular volume|mean corpuscular hemoglobin|mean corpuscular hemoglobin concentration|red cell distribution width|neutrophils|Lymphs|Monocytes|Eosinophils|Basophils|Absolute neutrophils|Absolute lymphs|Absolute monocytes|Absolute eosinophils|Absolute basophils|Immature granulocytes|Platelets|Prothrombin time|INR|SF-36|PHQ-9	Hope Biosciences|Hope Biosciences Stem Cell Research Foundation	All	Child, Adult, Older Adult	Phase 2	100	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	Allogeneic COVID-19 Protection	April 23, 2020	December 31, 2020	April 30, 2021	April 16, 2020		April 21, 2020	Hope Biosciences Stem Cell Research Foundation, Sugar Land, Texas, United States		https://ClinicalTrials.gov/show/NCT04348435
157	NCT04329572	Efficacy and Safety of Hydroxychloroquine and Azithromycin for the Treatment of Hospitalized Patients With Moderate to Severe COVID-19		Suspended	No Results Available	COVID-19	Drug: Hydroxychloroquine Sulfate|Drug: Azithromycin Tablets	Evolution of acute respiratory syndrome, oxygen saturation hemodynamic stability|Viral load|Change in Clinical Condition|Evolution of Acute Respiratory Syndrome|Hospital discharge|Rate of mortality within 28-days	Azidus Brasil	All	18 Years and older   (Adult, Older Adult)	Early Phase 1	400	Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	HIAPRE0320OR	April 23, 2020	May 31, 2020	June 30, 2020	April 1, 2020		April 22, 2020	Prevent Senior Private Operadora de Saúde LTDA., São Paulo, Brazil		https://ClinicalTrials.gov/show/NCT04329572
158	NCT04341506	Non-contact ECG Sensor System for COVID19		Not yet recruiting	No Results Available	COVID-19	Device: Non-contact ECG	ECG changes associated with COVID-19	Northwestern Medicine	All	18 Years and older   (Adult, Older Adult)		100	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	20-0407	April 15, 2020	July 15, 2020	September 15, 2020	April 10, 2020		April 10, 2020			https://ClinicalTrials.gov/show/NCT04341506
